meetingID,cost
5557,139
6826,584
6869,269
2000,417
6636,943
1568,857
2073,70
2420,601
6957,838
6881,975
5198,685
1585,984
7484,576
6462,89
1818,953
6054,115
1441,285
1039,782
4815,351
7074,71
1430,288
4453,551
1574,318
3067,952
5077,254
4823,645
5283,309
8127,732
6945,202
3434,625
4799,665
9504,230
2964,139
5790,704
4538,992
5469,79
9589,976
9502,355
4394,467
2484,895
2268,424
4191,153
9643,420
1249,220
7737,56
9442,805
9798,215
2153,642
2947,229
8578,815
9988,349
3573,19
3792,394
3512,86
7970,303
8067,383
7658,533
2296,641
9670,464
6310,64
6074,54
6073,641
9115,946
3477,615
8916,308
9554,793
5917,899
7652,866
6322,563
3644,111
1069,866
9491,452
6203,680
9903,76
8995,45
6856,12
2532,360
7722,239
7932,652
2878,896
7354,423
1871,658
2180,318
2785,712
2088,702
2451,427
6921,209
9541,409
3608,894
6783,506
3843,543
6330,881
5089,953
4906,776
3013,986
3788,429
2014,773
7561,952
8536,363
6402,375
6547,75
5704,785
1666,721
6343,504
4042,368
2003,443
3949,140
4663,682
5012,506
7443,909
7927,438
6782,235
1379,536
7785,152
6478,880
5018,662
9271,660
7903,912
7947,597
8015,887
2181,336
1042,60
7613,872
2682,201
1503,89
5987,154
6057,275
8745,594
6768,620
2565,282
5561,346
8565,508
8738,79
3165,349
3309,675
8191,988
6769,620
1255,640
8158,887
6646,947
8049,333
6421,218
6551,790
2232,696
2424,38
5786,336
8340,806
2173,649
6904,134
3204,808
3493,632
3623,109
3253,386
8539,341
3070,268
6111,380
9997,306
8468,351
1709,925
5492,557
3014,164
3881,952
5539,973
5861,555
3080,494
2792,750
7595,177
5574,121
3492,821
1778,802
4611,419
2287,158
5015,207
3615,172
6325,374
5211,201
1086,461
9101,940
1390,969
8184,508
6029,554
5651,433
9264,457
8319,638
9103,683
4061,654
2108,181
1008,405
4220,95
8271,185
4718,110
4788,913
8744,642
4113,63
5842,235
3227,777
6446,668
7506,612
5715,975
5396,14
1072,862
5402,818
2408,122
5642,569
2927,50
2330,600
8761,547
6081,708
5256,580
6820,678
6603,757
9875,748
9866,301
2056,504
5486,197
5064,591
9189,140
7189,827
6944,746
6404,443
6511,68
6435,959
3826,380
4867,336
1064,772
7963,936
2816,170
3900,176
9448,622
7219,154
7048,551
6560,923
3238,65
3213,423
4609,463
3024,128
4647,267
8237,780
9054,9
7414,128
7677,773
2970,403
1730,333
8676,209
6027,698
3006,688
1624,199
8304,304
2857,139
9246,685
3255,423
4648,177
2009,421
9945,13
9937,459
8651,941
4693,876
5164,440
8649,90
9901,12
1559,279
8225,658
5991,552
8438,260
5777,537
2362,232
6250,517
2670,490
3122,700
7693,687
9710,244
3692,527
6955,585
7281,965
4000,176
8771,964
1597,438
1258,994
6816,970
7565,804
9497,901
1212,654
7823,456
2853,51
4192,577
2159,699
9521,544
8718,737
4024,782
1981,805
6753,765
2733,381
2571,702
3689,322
5628,984
2745,582
7944,720
3318,355
5944,268
4852,737
9232,296
2714,298
7165,564
8950,294
3060,208
9783,579
8648,314
2891,273
9674,916
5730,340
1500,830
9053,654
6550,704
8176,525
6672,149
7718,767
2216,512
3406,382
2072,535
7588,674
3435,982
1834,564
3097,795
7185,205
7236,77
5741,828
6143,401
7312,780
5465,873
9933,765
7770,641
9790,876
9941,619
3341,99
2413,514
1283,653
4080,769
7322,659
6170,644
2411,300
8672,43
2627,812
2069,411
3258,976
3245,610
9693,28
7363,344
5521,685
4904,430
6287,123
3155,918
1850,996
5125,488
3466,612
6004,771
6915,109
2332,915
1412,735
3942,548
7745,167
9644,488
1983,904
1522,534
4496,751
6727,911
5186,180
4033,852
2813,539
6290,318
9537,83
3170,939
9437,821
6541,116
8882,730
1122,337
9169,942
5533,238
6679,812
3137,341
1278,552
1851,233
3621,980
1136,882
1493,599
8316,564
3727,471
6015,571
4223,388
6120,138
3454,257
4885,936
7400,146
4712,488
8774,936
5798,512
4997,943
6135,793
8096,145
3233,407
8351,889
1052,730
7416,635
8253,389
3518,345
