studentID,meetingID,attendance
1697636,6243,N
1699775,6243,N
1711730,6243,Y
1697636,6540,N
1699775,6540,Y
1711730,6540,Y
1717102,7285,N
1709446,7285,Y
1733139,7285,N
1717102,7479,N
1709446,7479,Y
1733139,7479,Y
1683675,7608,Y
1686052,7608,Y
1683448,7608,N
1683675,2613,N
1686052,2613,Y
1683448,2613,N
1663408,3760,Y
1699857,3760,Y
1672624,3760,N
1663408,7821,Y
1699857,7821,N
1672624,7821,N
1746302,8546,N
1658053,8546,N
1722469,8546,Y
1746302,3606,N
1658053,3606,N
1722469,3606,Y
1729131,3027,Y
1708540,3027,Y
1741496,3027,Y
1729131,6109,N
1708540,6109,N
1741496,6109,N
1743363,3598,N
1730806,3598,Y
1722793,3598,Y
1743363,3661,N
1730806,3661,N
1722793,3661,N
1659811,6244,Y
1730255,6244,Y
1653331,6244,N
1659811,9559,N
1730255,9559,N
1653331,9559,N
1746423,6582,Y
1746423,1810,Y
1656771,7881,N
1672039,7881,Y
1692878,7881,N
1656771,8047,N
1672039,8047,Y
1692878,8047,N
1656771,8472,Y
1672039,8472,N
1692878,8472,N
1685739,9685,Y
1672065,9685,N
1722104,9685,N
1685739,6966,Y
1672065,6966,Y
1722104,6966,N
1685739,4284,Y
1672065,4284,N
1722104,4284,N
1705579,5179,N
1733552,5179,N
1702732,5179,N
1705579,9758,Y
1733552,9758,Y
1702732,9758,N
1705579,9732,N
1733552,9732,Y
1702732,9732,N
1730851,5246,Y
1727158,5246,Y
1710129,5246,Y
1730851,9977,N
1727158,9977,Y
1710129,9977,Y
1730851,7539,N
1727158,7539,N
1710129,7539,Y
1692874,4356,Y
1686826,4356,N
1742926,4356,N
1692874,5879,Y
1686826,5879,Y
1742926,5879,Y
1692874,6155,N
1686826,6155,Y
1742926,6155,Y
1663977,8453,Y
1726514,8453,Y
1656871,8453,Y
1663977,2252,Y
1726514,2252,Y
1656871,2252,N
1663977,1232,N
1726514,1232,N
1656871,1232,N
1655757,7365,N
1708131,7365,N
1656220,7365,Y
1655757,8487,Y
1708131,8487,N
1656220,8487,N
1655757,3076,Y
1708131,3076,Y
1656220,3076,Y
1688642,1141,N
1683086,1141,N
1711936,1141,N
1688642,8392,N
1683086,8392,N
1711936,8392,Y
1688642,4248,Y
1683086,4248,N
1711936,4248,N
1675875,1099,N
1675875,2643,N
1675875,4931,Y
1651492,2572,Y
1666679,2572,N
1695411,2572,N
1651492,1870,N
1666679,1870,N
1695411,1870,Y
1651492,3445,Y
1666679,3445,N
1695411,3445,Y
1718672,1656,N
1663294,1656,N
1717831,1656,Y
1718672,8770,N
1663294,8770,Y
1717831,8770,N
1718672,6620,N
1663294,6620,Y
1717831,6620,N
1670586,3586,N
1669495,3586,N
1740270,3586,Y
1670586,9520,Y
1669495,9520,N
1740270,9520,N
1670586,3065,Y
1669495,3065,Y
1740270,3065,N
1737447,5255,N
1718865,5255,N
1712020,5255,N
1737447,6692,N
1718865,6692,N
1712020,6692,Y
1737447,9573,Y
1718865,9573,N
1712020,9573,Y
1650561,8324,N
1716659,8324,N
1697117,8324,N
1650561,3372,Y
1716659,3372,Y
1697117,3372,Y
1650561,6519,Y
1716659,6519,Y
1697117,6519,Y
1707402,6975,N
1662010,6975,Y
1666543,6975,N
1707402,2393,N
1662010,2393,N
1666543,2393,Y
1707402,7852,Y
1662010,7852,N
1666543,7852,Y
1731694,5562,Y
1662850,5562,N
1700479,5562,Y
1731694,3482,N
1662850,3482,N
1700479,3482,N
1731694,2633,N
1662850,2633,N
1700479,2633,N
1709203,9151,Y
1705872,9151,N
1730444,9151,N
1709203,1193,N
1705872,1193,N
1730444,1193,Y
1709203,6442,N
1705872,6442,Y
1730444,6442,Y
1713772,8360,N
1653353,8360,N
1713772,6159,N
1653353,6159,N
1713772,9615,Y
1653353,9615,N
1705978,6465,Y
1656609,6465,Y
1698879,6465,Y
1705978,6738,Y
1656609,6738,N
1698879,6738,Y
1705978,6673,N
1656609,6673,Y
1698879,6673,N
1740053,9317,Y
1692263,9317,N
1670855,9317,N
1740053,5894,N
1692263,5894,N
1670855,5894,N
1740053,6100,N
1692263,6100,N
1670855,6100,N
1654753,8070,N
1747127,8070,N
1720958,8070,N
1654753,3396,N
1747127,3396,Y
1720958,3396,N
1654753,8366,N
1747127,8366,Y
1720958,8366,Y
1732176,6187,N
1669665,6187,Y
1664692,6187,Y
1732176,4902,N
1669665,4902,Y
1664692,4902,N
1732176,8433,Y
1669665,8433,N
1664692,8433,N
1700566,4843,Y
1746056,4843,Y
1678730,4843,N
1700566,9454,N
1746056,9454,N
1678730,9454,N
1700566,3588,N
1746056,3588,Y
1678730,3588,N
1726037,1533,N
1662297,1533,N
1673259,1533,Y
1726037,4267,N
1662297,4267,Y
1673259,4267,N
1739155,3140,Y
1683639,3140,Y
1737486,3140,N
1739155,1733,N
1683639,1733,N
1737486,1733,N
1651117,3280,Y
1736678,3280,Y
1748753,3280,Y
1651117,5124,N
1736678,5124,Y
1748753,5124,N
1686297,2882,Y
1665958,2882,N
1745110,2882,N
1686297,6674,Y
1665958,6674,Y
1745110,6674,N
1735395,5462,Y
1699289,5462,N
1733552,5462,Y
1735395,1609,N
1699289,1609,N
1733552,1609,N
1712707,8600,N
1748132,8600,Y
1690035,8600,Y
1712707,2737,Y
1748132,2737,N
1690035,2737,Y
1743971,9525,Y
1688858,9525,N
1675344,9525,N
1743971,3864,N
1688858,3864,Y
1675344,3864,N
1695094,3665,Y
1716372,3665,Y
1733558,3665,Y
1695094,1276,N
1716372,1276,Y
1733558,1276,Y
1713419,4081,Y
1713419,8424,Y
1691189,3808,Y
1743630,3808,Y
1731475,3808,Y
1705748,2244,Y
1724539,2244,N
1716919,2244,Y
1702041,2549,Y
1669678,2549,Y
1672533,2549,N
1712528,5470,Y
1705133,5470,N
1681617,5470,N
1727706,3287,N
1706611,3287,N
1650636,3287,Y
1721688,6453,N
1741684,6453,N
1702922,7201,Y
1719894,7201,Y
1697303,7201,N
1672033,4151,Y
1727906,4151,Y
1693783,4151,Y
1745311,7798,Y
1731542,7798,Y
1722150,7798,N
1743731,1900,Y
1665574,1900,N
1733762,1900,N
1659924,2959,N
1677780,2959,N
1706943,2959,Y
1703881,1758,N
1739793,1758,Y
1716428,8749,Y
1674829,8749,N
1665557,8749,N
1716428,7741,Y
1674829,7741,Y
1665557,7741,Y
1716428,4629,Y
1674829,4629,Y
1665557,4629,N
1712274,9529,N
1724467,9529,Y
1679098,9529,N
1712274,7730,N
1724467,7730,N
1679098,7730,Y
1712274,4368,N
1724467,4368,N
1679098,4368,Y
1682220,9665,N
1696027,9665,N
1710688,9665,Y
1682220,8458,Y
1696027,8458,Y
1710688,8458,Y
1682220,5334,N
1696027,5334,N
1710688,5334,Y
1702664,5693,Y
1650284,5693,Y
1683101,5693,N
1702664,3222,N
1650284,3222,N
1683101,3222,Y
1702664,4557,Y
1650284,4557,N
1683101,4557,N
1671335,1030,N
1743169,1030,N
1681087,1030,Y
1671335,5026,N
1743169,5026,Y
1681087,5026,N
1671335,4503,N
1743169,4503,Y
1681087,4503,Y
1683229,4039,N
1731370,4039,N
1712454,4039,N
1683229,1160,Y
1731370,1160,N
1712454,1160,Y
1683229,7031,Y
1731370,7031,Y
1712454,7031,Y
1663144,6557,N
1690610,6557,Y
1731456,6557,N
1663144,8797,N
1690610,8797,Y
1731456,8797,N
1663144,2946,N
1690610,2946,Y
1731456,2946,N
1746474,5838,N
1687492,5838,Y
1738032,5838,Y
1746474,4256,Y
1687492,4256,Y
1738032,4256,N
1746474,8147,N
1687492,8147,N
1738032,8147,Y
1749160,5088,N
1749160,9099,N
1749160,3326,Y
1731518,4270,Y
1681275,4270,N
1715573,4270,Y
1731518,5081,Y
1681275,5081,N
1715573,5081,N
1731518,2967,N
1681275,2967,Y
1715573,2967,N
1684294,2203,N
1663758,2203,N
1696465,2203,Y
1684294,9305,N
1663758,9305,Y
1696465,9305,N
1684294,1732,N
1663758,1732,N
1696465,1732,Y
1728910,9164,Y
1714778,9164,Y
1747946,9164,Y
1728910,2606,Y
1714778,2606,N
1747946,2606,N
1728910,8591,Y
1714778,8591,Y
1747946,8591,N
1723583,4796,Y
1696862,4796,Y
1699941,4796,Y
1723583,2349,N
1696862,2349,Y
1699941,2349,Y
1723583,3221,Y
1696862,3221,N
1699941,3221,Y
1702909,9618,N
1702442,9618,Y
1657536,9618,Y
1702909,8779,Y
1702442,8779,Y
1657536,8779,Y
1702909,2340,Y
1702442,2340,N
1657536,2340,N
1695940,5934,N
1689618,5934,Y
1724918,5934,Y
1695940,8352,N
1689618,8352,N
1724918,8352,N
1695940,8569,N
1689618,8569,Y
1724918,8569,N
1719274,8448,N
1664692,8448,Y
1748778,8448,Y
1719274,1654,Y
1664692,1654,Y
1748778,1654,Y
1719274,2704,Y
1664692,2704,Y
1748778,2704,Y
1690967,7168,N
1717348,7168,Y
1690967,6708,Y
1717348,6708,Y
1690967,5622,Y
1717348,5622,Y
1663575,2829,N
1719598,2829,N
1678810,2829,Y
1663575,6350,N
1719598,6350,N
1678810,6350,Y
1663575,7175,Y
1719598,7175,Y
1678810,7175,N
1733699,1271,Y
1658185,1271,Y
1730098,1271,Y
1733699,5457,Y
1658185,5457,Y
1730098,5457,N
1733699,1557,Y
1658185,1557,N
1730098,1557,N
1742614,9178,N
1720506,9178,Y
1664614,9178,Y
1742614,3288,Y
1720506,3288,N
1664614,3288,Y
1742614,1731,Y
1720506,1731,N
1664614,1731,Y
1721614,2569,N
1664972,2569,N
1651442,2569,N
1721614,1726,N
1664972,1726,Y
1651442,1726,N
1721614,1853,N
1664972,1853,Y
1651442,1853,Y
1684911,6854,Y
1719102,6854,Y
1672775,6854,N
1684911,6731,Y
1719102,6731,N
1672775,6731,N
1684911,2480,N
1719102,2480,Y
1672775,2480,Y
1728588,1459,N
1748127,1459,N
1704639,1459,Y
1728588,5096,N
1748127,5096,N
1704639,5096,Y
1728588,4409,Y
1748127,4409,Y
1704639,4409,Y
1706669,7940,N
1711728,7940,N
1706669,5841,Y
1711728,5841,N
1706669,7914,Y
1711728,7914,N
1740239,7900,Y
1727534,7900,N
1719833,7900,Y
1740239,6213,Y
1727534,6213,N
1719833,6213,Y
1740239,6513,Y
1727534,6513,Y
1719833,6513,N
1717321,8558,Y
1681114,8558,Y
1743285,8558,Y
1717321,8864,N
1681114,8864,N
1743285,8864,N
1717321,8728,Y
1681114,8728,N
1743285,8728,N
1662979,2376,Y
1734401,2376,Y
1743333,2376,N
1662979,8790,Y
1734401,8790,N
1743333,8790,Y
1662979,1737,N
1734401,1737,N
1743333,1737,N
1660161,7302,N
1729738,7302,N
1742168,7302,Y
1660161,7651,N
1729738,7651,Y
1742168,7651,Y
1660161,3790,N
1729738,3790,N
1742168,3790,Y
1673119,5772,Y
1715340,5772,Y
1722854,5772,N
1673119,7673,N
1715340,7673,Y
1722854,7673,N
1673119,6318,N
1715340,6318,Y
1722854,6318,N
1675393,2997,Y
1697154,2997,Y
1655895,2997,N
1675393,9568,Y
1697154,9568,N
1655895,9568,Y
1675393,6490,N
1697154,6490,Y
1655895,6490,N
1658786,8069,Y
1703597,8069,N
1706242,8069,Y
1658786,2128,Y
1703597,2128,Y
1706242,2128,N
1658786,2410,N
1703597,2410,N
1706242,2410,Y
1669707,8885,Y
1733093,8885,N
1733253,8885,Y
1669707,7639,N
1733093,7639,Y
1733253,7639,Y
1749071,1254,Y
1657362,1254,N
1739068,1254,N
1749071,5707,N
1657362,5707,N
1739068,5707,Y
1671802,5660,N
1712218,5660,N
1713279,5660,Y
1671802,5237,N
1712218,5237,Y
1713279,5237,N
1696862,1598,Y
1685643,1598,Y
1708470,1598,N
1696862,1779,Y
1685643,1779,N
1708470,1779,Y
1702390,6119,N
1702390,5789,N
1723949,6055,Y
1707311,6055,N
1653408,6055,N
1723949,1523,N
1707311,1523,Y
1653408,1523,Y
1668908,4771,N
1741973,4771,N
1741616,4771,N
1668908,3795,Y
1741973,3795,N
1741616,3795,Y
1684920,5261,Y
1680722,5261,N
1713238,5261,Y
1684920,3579,Y
1680722,3579,N
1713238,3579,N
1702463,2564,Y
1745667,2564,N
1702808,2564,Y
1702463,9322,N
1745667,9322,N
1702808,9322,Y
1697631,8646,N
1709426,8646,Y
1749983,8646,N
1697631,5204,N
1709426,5204,N
1749983,5204,Y
1734239,2258,Y
1742361,2258,Y
1653656,2258,N
1734239,8420,Y
1742361,8420,Y
1653656,8420,Y
1742999,8750,Y
1742999,1318,Y
1650595,9314,Y
1697421,9314,N
1691939,9314,Y
1680831,3581,N
1721875,3581,N
1735885,3581,N
1741537,1716,N
1678236,1716,N
1707923,1716,N
1738648,2784,N
1680153,2784,Y
1719459,2784,Y
1693894,2281,Y
1733614,2281,Y
1710486,7569,N
1728910,7569,N
1713283,7569,N
1664386,7680,Y
1689675,7680,Y
1659134,7680,N
1749273,6804,Y
1717804,6804,N
1728937,6804,Y
1707957,3266,Y
1749318,3266,N
1688051,3266,N
