studentID,meetingID,attendance
1730012,1033,N
1670184,1033,N
1740262,1033,Y
1730012,5894,N
1670184,5894,Y
1740262,5894,N
1716704,5219,N
1737983,5219,N
1710836,5219,Y
1716704,2891,N
1737983,2891,Y
1710836,2891,Y
1668167,7956,N
1718727,7956,N
1734901,7956,Y
1668167,8194,N
1718727,8194,N
1734901,8194,N
1697213,5017,Y
1667200,5017,Y
1693308,5017,N
1697213,5925,N
1667200,5925,Y
1693308,5925,N
1725360,7426,N
1657000,7426,N
1692760,7426,N
1725360,2532,N
1657000,2532,N
1692760,2532,N
1692364,8308,Y
1663449,8308,N
1747536,8308,N
1692364,1916,N
1663449,1916,Y
1747536,1916,Y
1738646,7634,Y
1746881,7634,Y
1693106,7634,N
1738646,7742,Y
1746881,7742,N
1693106,7742,Y
1716589,1547,Y
1716589,8539,N
1677023,6742,N
1701879,6742,N
1700686,6742,N
1677023,6059,Y
1701879,6059,N
1700686,6059,Y
1662216,3491,Y
1712761,3491,N
1653762,3491,Y
1662216,5516,N
1712761,5516,N
1653762,5516,N
1719657,8874,N
1682673,8874,Y
1730012,8874,N
1719657,5889,Y
1682673,5889,N
1730012,5889,N
1717870,4235,N
1717763,4235,Y
1728045,4235,Y
1717870,5573,N
1717763,5573,N
1728045,5573,N
1673983,1871,N
1692883,1871,N
1685866,1871,N
1673983,1645,N
1692883,1645,N
1685866,1645,Y
1697563,3590,N
1686024,3590,N
1704817,3590,N
1697563,5947,Y
1686024,5947,N
1704817,5947,N
1681253,7996,Y
1693383,7996,Y
1673638,7996,N
1681253,6060,Y
1693383,6060,Y
1673638,6060,N
1671252,3431,N
1736700,3431,Y
1671252,9156,N
1736700,9156,Y
1738392,1586,Y
1720448,1586,Y
1697582,1586,N
1738392,2821,N
1720448,2821,Y
1697582,2821,Y
1738392,8418,N
1720448,8418,N
1697582,8418,N
1682633,2232,N
1737112,2232,Y
1687975,2232,N
1682633,3398,N
1737112,3398,Y
1687975,3398,Y
1682633,9863,N
1737112,9863,Y
1687975,9863,N
1731852,9231,Y
1673798,9231,Y
1677517,9231,N
1731852,3949,Y
1673798,3949,N
1677517,3949,Y
1731852,7893,Y
1673798,7893,N
1677517,7893,Y
1677175,4076,N
1728769,4076,Y
1738088,4076,Y
1677175,3773,Y
1728769,3773,Y
1738088,3773,N
1677175,9838,N
1728769,9838,Y
1738088,9838,Y
1678200,8671,N
1706189,8671,Y
1701658,8671,Y
1678200,7737,N
1706189,7737,Y
1701658,7737,Y
1678200,3312,N
1706189,3312,Y
1701658,3312,N
